Property ID,Property Name,Address 1,Primary Property Type - Self Selected,Year Built,ENERGY STAR Score,Site EUI (kBtu/ft²),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Latitude,Longitude,Fine_2024-2029,Fine_2030-2034,Fine_2035-2039
3118502,Maxim Realty - 10-40 45th Ave,10-40 45th Ave,Office,1949,79,33.5,189,66800.0,40.748053,-73.951224,0.0,2479.285473599998,21071.1427024
3119946,Jenel Management - 660 Madison Ave.,660 Madison Ave.,Office,1958,23,110.7,3992.9,486459.0,40.764506,-73.970756,81884.98966910403,719288.16224688,854680.022661024
3119955,Jenel Management - 161-21 Jamaica Ave.,161-21 Jamaica Ave.,Office,1908,85,32.4,164.9,65587.0,40.704249,-73.797921,0.0,0.0,15149.501959447998
3120016,Fashion Options - 260 W 35th st,260 W 35th st.,Office,1924,Not Available,97.2,466.1,69046.0,40.752344,-73.991785,0.0,75122.39046815998,94339.357148096
3120021,Fashion Options - 119 5th Ave.,119 5th Ave.,Office,1912,37,104.5,415.3,56731.0,40.739172,-73.991303,0.0,70388.93991518799,86178.380820084
3120038,Fashion Options - 1220 Broadway,1220 Broadway,Office,1931,81,70.1,420.7,77200.0,40.746898,-73.988419,0.0,57074.951248000005,78561.34912320001
3120084,HP Morgan LLC - 63 North 3rd St. 240 Wythe Ave,240 Wythe Ave,Multifamily Housing,1928,11,59.8,278.2,68300.0,40.717524,-73.962595,0.0,13299.354690400003,25278.797401200005
3120092,American Package Company - 226 Franklin St,226 Franklin St,Multifamily Housing,1931,Not Available,38.3,256,107300.0,40.733533,-73.958184,0.0,0.0,0.0
3120806,640 Riverside Drive Owners - 640 W 139 St.,640 W 139 St.,Multifamily Housing,1910,100,16,103.4,76250.0,40.823232,-73.954644,0.0,0.0,0.0
3122051,1419 Jesup Ave LLC - 1419 Jesup Ave.,1419 Jesup Ave.,Multifamily Housing,1927,100,16.7,82.4,59700.0,40.841653,-73.920446,0.0,0.0,0.0
3122072,Jason Andrew - 100 East 92nd St.,100 East 92nd St.,Multifamily Housing,1964,Not Available,130.9,415.6,54888.0,40.662233,-73.927941,12088.414781472004,62151.78592771201,71778.8379264
3122081,Kit Tzing Lee Kuan Realty - 101 Lafayette St.,101 Lafayette St.,Office,1928,Not Available,37.7,167.2,56345.0,40.717783,-74.001111,0.0,4176.500327259995,19858.509242779997
3122148,S & G Hotel Corp - 109 W 45 ST,109 W 45 ST.,Hotel,1900,Not Available,81,341.1,60209.0,40.757026,-73.983291,0.0,29280.37510317601,48815.454166988
3126890,Palushaj Realty - 2064 Barnes ave,2064 Barnes ave.,Multifamily Housing,1961,85,68.6,318,61807.0,40.852738,-73.863905,0.0,29789.326472608,40629.932850740006
3126921,United Capital Corp - 424 E 147th St.,424 E 147th St.,Office,1969,61,62.6,441,89311.0,40.814344,-73.917762,0.0,53781.530188599994,78638.67631077599
3127498,Encore - 755 10th Ave.,755 10th Ave.,Multifamily Housing,2005,67,69.8,342.9,78232.0,40.765461,-73.991235,0.0,21730.95920195199,35452.419848384
3127656,The D & F Development Group - 21-05 30th Drive,21-05 30th Drive,Multifamily Housing,2004,Not Available,79.9,487.6,103194.0,40.768143,-73.928931,0.0,38122.15326847199,56221.810824816
3127664,The D & F Development Group - 112-04 167th St / 166-01 Linden Blvd.,112-04 167th st.,Multifamily Housing,1981,61,78.7,1116.3,234636.0,40.69144,-73.783211,0.0,88723.48694601598,129877.345216752
3127704,MMS Meats - 373 E 148 ST.,373 E 148 ST.,Office,1931,89,36.9,150.6,53250.0,40.815711,-73.919248,0.0,1959.650907000001,16780.255659000002
3129145,Glyk Management (Midwood) - 1075 Ocean Parkway,1075 Ocean Parkway,Multifamily Housing,1953,62,84.5,277.8,55000.0,40.62223,-73.970094,0.0,25120.92506,34767.62124000001
3133806,Wai Realty Corp - 140-11 Ash Ave.,140-11 Ash Ave.,Multifamily Housing,1926,Not Available,88.7,464.5,90754.0,40.755108,-73.823628,0.0,43088.788178624,59006.53845352801
3135083,Hogan - 246 East 46th St,246 East 46th St,Multifamily Housing,1938,Not Available,101.3,588.6,75858.0,40.752863,-73.971519,20517.670702896008,89707.78891473601,103012.863075144
3162661,Steel Equities - 60-15 Little Neck Parkway,60-15 Little Neck Parkway,Office,1942,96,19.9,392.3,233220.0,40.759891,-73.722703,0.0,0.0,1860.275598479995
3167565,URA Group - 569 Broadway,569-575 Broadway,Office,1882,42,110.7,1295.5,160000.0,40.724406,-73.997651,22163.6,231810.26624,276341.66079999995
3202474,Samuel Bodenheim Management - 400 Fort Washington Ave,400 Fort Washington Ave.,Multifamily Housing,1924,Not Available,77.1,249.7,56277.0,40.848531,-73.939229,0.0,16444.780282476004,26315.455208328007
3202499,Holliswood Apt - 190-05 Hillside Ave.,190-05 Hillside Ave.,Multifamily Housing,1960,56,83.9,507.1,101330.0,40.715745,-73.77178,0.0,45019.97338844,62792.69564152
3202995,Marine Coop Apts - 2239 Troy Ave.,2239 Troy Ave.,Multifamily Housing,1953,92,62.6,463.5,123550.0,40.619357,-73.932745,0.0,13406.0774092,35076.06491900001
3244504,Timehsare Acquisitions at Lexington - 501 Lexington Ave.,501 Lexington Ave.,Hotel,1926,100,0.6,4.8,92501.0,40.75471,-73.973655,0.0,0.0,0.0
3250250,Holy Cross High School of Bayside - 2620 Francis Lewis Blvd.,26-20 Francis Lewis Blvd,K-12 School,1955,75,65.5,529,107867.0,40.771164,-73.795169,0.0,77289.38060160002,98753.227856124
3266157,9298 LLC - 92 Nagle Ave.,92 Nagle Ave.,Multifamily Housing,1927,Not Available,107.7,519.1,78331.0,40.860524,-73.92769,0.0,68863.76557112801,82602.59027068401
3270248,Jack Vogel Associates - 38 W 21st St.,38 W 21st St.,Office,1908,100,22.9,141.2,72790.0,40.740816,-73.991848,0.0,0.0,5608.215899640002
3306945,Prasad Management - 147-15 Northern blvd.,147-15 Northern blvd.,Multifamily Housing,1932,68,87.6,452.6,90180.0,40.765183,-73.819104,0.0,40414.39677864001,56231.47062432001
3307350,LMNY Associates - 39-05 29th st,39-05 29th st.,Hotel,2007,100,5.8,33.6,69159.0,40.753298,-73.934664,0.0,0.0,0.0
3314057,628 Broadway LLC - 628 Broadway,628 Broadway,Office,1910,77,45.5,247.9,66500.0,40.726028,-73.996251,0.0,18480.843696000004,36989.204560000006
3429747,BRG - 86-03 102,86-03 102nd Street,Multifamily Housing,1927,95,58.9,240.2,69000.0,40.69607,-73.845786,0.0,2487.5253480000006,14589.744192000006
3429785,BRG - 37-20 81st Street,37-20 81st Street,Multifamily Housing,1925,84,72.6,285.2,67468.0,40.74932,-73.88519,0.0,15921.579821776,27755.094328544
3429853,BRG - 96-10 37th Avenue,96-10 37th Avenue,Multifamily Housing,1929,Not Available,125.2,600,79555.0,40.751591,-73.870641,16885.002684480005,89447.15637088,103400.66390906
3499366,URA Group - 828 Broadway,828 Broadway,Office,1903,84,61.9,584.7,119000.0,40.733403,-73.991059,0.0,70882.935956,104003.16066
3529293,Wavecrest - 243 West 70th St,243 West 70th Street,Multifamily Housing,1926,83,59.6,239,68989.0,40.777949,-73.984138,0.0,2175.791639359996,14276.081144123998
3529409,JWavecrest - 950 Westchester Ave,950 Westchester Avenue,Multifamily Housing,2006,87,67.1,685.7,160999.0,40.822388,-73.896326,0.0,39367.68864267599,67606.0238842
3529494,Wavecrest - 774 Rockaway Ave,774 Rockaway Avenue,Multifamily Housing,2008,48,67.6,351.9,83633.0,40.66071,-73.908457,0.0,19298.79747967599,33967.563690983996
3535469,Highbridge 1150 Tiffany,1150 Tiffany St,Multifamily Housing,1960,37,87,336.7,62890.0,40.826978,-73.894971,0.0,33829.58352703999,44860.142122679994
3535483,Island Condo Management Corp - 2 Windham Loop,2 Windham Loop,Multifamily Housing,1977,80,35.5,440,146722.0,40.577773,-74.163585,0.0,0.0,12059.352322256
3547774,Bank Street College Of Education - 610 W 112th St,610 W 112th St,K-12 School,1971,76,40,571.9,212000.0,40.805626,-73.966197,0.0,26536.14006400001,68720.826928
3795689,Archdiocese of NY - 1011 1st Ave,1011 1st Ave,Office,1972,Not Available,107.5,3004,379996.0,40.757271,-73.963692,33132.88786908807,531038.479022432,636799.4278175681
3857689,Moin Development Corp - 444 Park Ave,444 Park Ave,Hotel,1920,17,101.3,814.2,120400.0,40.761278,-73.971006,0.0,93955.310288,133019.62823519998
3881801,Harvey Co-op Gardens - 96-09 67th Ave,96-09 67th Ave,Multifamily Housing,1951,48,87.8,319.7,61476.0,40.722535,-73.856627,0.0,30541.798362384,41324.349168960005
3897375,Jenel Management - 1356 Broadway,1356 Broadway,Office,1922,Not Available,59.4,346.2,77264.0,40.751644,-73.987588,0.0,37062.787630528,58566.998063552
3927008,BRG - 40-94 Denman St,40-94 Denman St,Multifamily Housing,1960,100,24.1,97.3,53250.0,40.746834,-73.875288,0.0,0.0,0.0
3941202,Betancourt Properties Management - 804 E 138th St,804 E 138th St,Office,1954,Not Available,35.8,379.1,139823.0,40.803749,-73.910265,0.0,765.6769002119934,39681.38428498
3957383,Betancourt Properties Management - 1828 Amsterdam Ave,1828 Amsterdam Avenue,K-12 School,1920,Not Available,108.4,471.2,68020.0,40.828715,-73.945076,3233.4145006400017,85619.40283696,99154.3198204
4038769,URA Group - 15 West 37th,15 West 37th Street,Office,1920,81,56.9,583.8,129465.0,40.750688,-73.983975,0.0,63094.93605449998,99127.79228393998
4039655,Eastchester Heights - 	Section III,1410 Hicks Street,Multifamily Housing,1935,65,97.7,807.2,142820.0,40.878356,-73.849952,0.0,88234.39194904001,113284.23101136004
4043884,BRG - 37-52 89th St,37-52 89th Street,Multifamily Housing,1924,64,89.9,369,69912.0,40.749329,-73.877611,0.0,36187.963536384,48450.142142496
4044727,BRG - 2940 Ocean Ave,2940 Ocean Ave,Multifamily Housing,1930,53,81.3,243.6,52500.0,40.589555,-73.949557,0.0,18197.5752,27405.78519
4044729,BRG - 2950 Ocean Ave,2950 Ocean Ave,Multifamily Housing,1930,39,91.4,270.8,52500.0,40.589374,-73.949521,0.0,25487.17184999999,34695.381839999995
4046155,BRG - 91-31 Lamont Ave,91-31 Lamont Ave,Multifamily Housing,1961,69,80.3,362.1,77000.0,40.744069,-73.874149,0.0,27981.528652,41486.90330400001
4056097,Textport Fabrics Management - 495 Broadway,495 Broadway,Office,1890,69,77.4,419.9,77066.0,40.722117,-73.999589,0.0,56957.19173979999,78406.29457205598
4056392,Amalithone Realty - 113 University Pl,113 University Place,Office,1916,37,68.3,294.3,62000.0,40.734375,-73.99239,0.0,34161.19995199999,51417.11534399999
4056579,The Shefa School - 17 W 60th St,17 W 60th St,Office,1921,Not Available,3.7,24.2,76511.0,40.769246,-73.982862,0.0,0.0,0.0
4068969,Gabriel Prime Realty - 2200 Powell Ave,"2200 Powell Ave, 2201 Haviland Ave, 1130-1156 Castle Hill Ave",Multifamily Housing,1916,Not Available,83,748.7,125000.0,40.831228,-73.850684,0.0,88539.16,110463.4695
4339147,Citi Apartments - 1950 Daly Ave,1950 Daly Ave,Multifamily Housing,1929,12,104.7,410.4,64440.0,40.841589,-73.884015,0.0,52190.99348399999,63493.41351744
4339202,Citi Apartments - 1011 Sheridan Ave,1011 Sheridan Ave,Multifamily Housing,1929,52,72.1,725.5,172512.0,40.829413,-73.919488,0.0,39708.09105983999,69965.74290355202
4373716,Zamore Daughters - 8747 Bay Parkway,8747 Bay Parkway,Multifamily Housing,1928,16,117.3,488.7,73400.0,40.599085,-73.99677,0.0,65139.17233759999,78013.126876
4377721,Condren Realty - 225 w 35th st,225 w 35th st,Office,1924,Not Available,79.9,642.6,106810.0,40.752051,-73.991042,0.0,95190.95741012,124918.44649108
4380195,BRG - 92-11 35th Ave,92-11 35th Avenue,Multifamily Housing,1940,52,75.8,433.5,98400.0,40.752793,-73.875179,0.0,27923.092377599995,45181.908816
4380995,BRG - 41-96 Gleane Street,41-96 Gleane Street,Multifamily Housing,1940,97,76.3,323.7,72400.0,40.744997,-73.876587,0.0,21816.065532799992,34514.6255952
4403637,MP Management - 10 Fairview Ave,10 fairview ave,Multifamily Housing,1925,99,40.4,148.1,55595.0,40.857289,-73.928557,0.0,0.0,0.0
